#Pos	Sites-1	Sites-2	Sites-3	Sites-4	Sites-5	Sites-6	Sites-7	Sites-8	Sites-9	Sites-10
136	-133111	-126562	-129452	-145392	-140308	-122641	-120615	-127351	-128233	-124549
137	-133120	-126693	-129309	-145101	-140298	-122770	-120501	-127412	-128370	-124601
138	-133031	-126749	-129036	-145031	-140105	-122786	-120697	-127162	-128080	-124969
139	-133056	-126895	-128954	-144824	-140079	-122768	-120750	-127144	-127988	-125304
140	-133056	-126747	-128921	-144863	-140243	-122829	-120761	-126896	-127901	-125487
141	-132895	-126547	-128692	-144544	-140228	-122839	-120551	-126803	-127784	-125771
142	-132924	-126419	-128484	-144585	-140213	-122553	-120578	-126820	-127792	-125820
143	-132871	-126414	-128284	-144529	-140076	-122528	-120678	-126909	-127831	-125923
144	-133003	-126263	-128129	-144844	-139835	-122542	-120649	-127087	-127970	-125904
145	-133036	-126242	-128096	-144897	-139779	-122332	-120631	-127203	-128044	-125950
146	-133163	-126271	-127943	-145144	-139669	-122625	-120672	-127116	-128063	-126041
147	-133066	-126379	-127833	-145090	-139514	-122700	-120705	-126958	-128044	-126263
148	-132871	-126644	-128032	-144967	-139325	-122795	-120749	-126732	-127773	-126334
149	-132676	-126638	-128076	-144842	-139083	-122815	-120713	-126613	-127679	-126354
150	-132553	-126680	-128137	-144709	-138842	-122861	-120787	-126504	-127706	-126368
151	-132635	-126825	-128093	-144462	-138606	-122764	-120769	-126467	-127662	-126596
152	-132408	-127019	-127747	-144335	-138617	-122560	-120768	-126467	-127743	-126619
153	-132415	-127093	-127405	-144224	-138527	-122445	-120777	-126444	-127703	-126811
154	-132384	-127182	-127289	-144247	-138364	-122223	-120893	-126487	-127732	-126927
155	-132690	-127094	-127359	-144118	-138134	-121972	-120953	-126371	-127675	-127120
156	-132737	-126914	-127216	-144251	-138218	-121765	-120943	-126304	-127469	-127408
157	-132759	-126835	-127230	-144367	-138241	-121718	-120995	-126377	-127444	-127648
158	-132845	-126770	-127321	-144454	-138377	-121704	-121267	-126190	-127587	-127796
159	-132611	-126779	-127282	-144528	-138233	-121903	-121276	-125990	-127743	-127892
160	-132611	-126660	-127196	-144389	-138127	-121945	-121435	-126071	-127718	-127980
161	-132637	-126661	-127140	-144433	-137803	-122147	-121327	-126193	-127667	-128112
162	-132780	-126739	-127000	-144436	-137653	-122280	-121120	-125941	-127510	-128045
163	-132607	-126859	-126806	-144342	-137317	-122292	-121193	-125881	-127582	-128078
164	-132735	-126873	-126865	-144249	-137270	-122205	-121162	-125841	-127691	-128206
165	-132694	-126809	-126794	-144059	-137335	-122072	-121064	-125599	-127732	-128397
166	-132858	-126682	-126904	-143989	-137325	-121922	-121056	-125625	-127872	-128430
167	-133073	-126822	-126975	-143741	-137165	-121789	-120963	-125622	-127706	-128632
168	-133191	-126879	-127128	-143528	-137226	-121630	-120739	-125611	-127808	-128859
169	-133424	-126821	-127330	-143624	-137168	-121561	-120747	-125555	-127786	-128865
170	-133533	-126736	-127197	-143591	-137108	-121499	-120922	-125589	-127821	-128822
171	-133675	-126846	-127087	-143326	-136989	-121524	-120927	-125775	-127862	-128703
172	-133657	-126905	-126931	-143247	-137077	-121435	-121089	-125778	-127765	-128551
173	-133435	-126911	-126850	-143144	-136933	-121639	-121353	-125961	-127527	-128508
174	-133244	-126918	-126777	-142891	-137001	-121718	-121340	-126021	-127502	-128496
175	-133473	-126877	-126849	-142885	-136970	-121858	-121617	-125817	-127643	-128604
176	-133502	-126815	-126891	-142943	-137031	-121803	-121743	-125662	-127569	-128861
177	-133824	-126664	-126803	-142857	-137184	-121744	-121758	-125654	-127622	-129006
178	-133936	-126569	-126781	-142720	-137225	-121684	-121854	-125713	-127696	-129188
179	-134164	-126586	-126541	-142731	-137378	-121714	-121793	-125859	-127866	-129124
180	-134367	-126478	-126623	-142645	-137705	-121655	-121884	-125982	-127565	-129096
181	-134467	-126334	-126582	-142405	-137853	-121639	-122088	-126160	-127738	-129040
182	-134471	-126280	-126694	-142373	-137883	-121880	-122190	-126348	-127849	-128926
183	-134486	-126403	-126730	-142224	-137995	-121941	-122173	-126427	-128012	-128806
184	-134581	-126531	-126804	-142110	-138108	-121842	-121961	-126663	-127873	-128908
185	-134600	-126537	-126726	-142212	-138060	-121861	-121932	-126962	-127971	-128808
186	-134787	-126651	-126809	-142135	-138089	-121866	-122015	-126911	-127769	-128929
187	-135048	-126647	-126606	-141959	-138254	-121915	-122265	-126973	-127723	-129248
188	-135041	-126527	-126517	-141955	-138449	-121923	-122494	-126914	-127615	-129499
189	-135154	-126431	-126381	-142143	-138461	-122009	-122642	-127119	-127475	-129602
190	-135289	-126204	-126451	-142120	-138495	-121918	-122572	-127255	-127344	-129484
191	-135678	-126046	-126486	-142144	-138480	-122024	-122372	-127466	-127289	-129517
192	-135705	-125778	-126495	-142216	-138481	-122061	-122381	-127425	-127228	-129275
193	-135710	-125775	-126635	-142357	-138737	-121982	-122415	-127572	-127116	-129026
194	-135810	-125743	-126648	-142462	-138519	-121863	-122498	-127678	-127083	-128880
195	-136148	-125680	-126590	-142459	-138776	-121802	-122618	-127841	-127165	-128790
196	-136247	-125537	-126559	-142358	-138750	-121831	-122686	-128023	-127343	-128752
197	-136434	-125779	-126582	-142296	-138685	-121867	-122638	-128212	-127499	-129012
198	-136677	-125785	-126402	-142229	-138560	-121988	-122815	-128130	-127529	-129252
199	-136945	-126088	-126459	-142375	-138727	-121804	-122796	-128200	-127641	-129490
200	-136953	-126180	-126421	-142455	-138762	-121872	-122821	-128185	-127507	-129550
201	-136901	-126254	-126363	-142760	-138798	-121883	-122805	-128134	-127542	-129546
202	-136915	-126379	-126240	-142907	-138905	-121962	-122783	-128109	-127563	-129627
203	-136884	-126924	-126275	-142837	-138949	-122119	-122693	-127997	-127560	-129542
204	-136758	-127082	-126412	-143008	-139216	-122174	-122800	-128035	-127484	-129532
